Symbol,Name,Date,Transaction,Qty,Price,Commission,Tax,Broker
03399,粤运交通,2015-08-27,SELL,-2000,5.09,18.0,11.27486,IB
03399,粤运交通,2015-09-09,BUY,3500,0.0,0.0,0.0,IB
00998,中信银行,2015-09-22,BUY,3000,4.61,18.0,14.37341,IB
00106,朗诗绿色地产,2015-11-13,SELL,-20000,0.69,18.0,14.3726,IB
00305,五菱汽车,2015-11-15,BUY,20000,0.64,18.0,13.3456,IB
01988,民生银行,2015-11-17,SELL,-3000,7.65,18.36,24.61965,IB
08095,北大青鸟环宇,2015-11-17,BUY,10000,1.51,18.0,17.4077,IB
03399,粤运交通,2015-11-24,SELL,-10000,6.05,48.4,62.6335,IB
00586,海螺创业,2015-11-25,SELL,-1000,17.32,18.0,18.46764,IB
00305,五菱汽车,2015-11-25,SELL,-20000,0.71,18.0,15.3834,IB
08095,北大青鸟环宇,2015-11-25,SELL,-10000,1.68,18.0,17.4536,IB
00861,神州控股,2015-11-25,BUY,1000,9.36,6.16,10.0,FUTU
00998,中信银行,2015-11-25,SELL,-3000,5.16,18.0,16.41796,IB
00861,神州控股,2015-11-26,BUY,1000,9.21,6.15,10.0,FUTU
03399,粤运交通,2015-11-26,SELL,-500,6.15,18.0,4.083025,IB
00861,神州控股,2015-11-27,BUY,1000,8.96,6.13,9.0,FUTU
03399,粤运交通,2015-11-27,BUY,3000,6.0,6.76,18.0,FUTU
03399,粤运交通,2015-11-27,BUY,3000,5.89,6.74,18.0,FUTU
03399,粤运交通,2015-11-27,BUY,3000,6.05,6.77,19.0,FUTU
00305,五菱汽车,2015-11-27,BUY,10000,0.73,6.01,8.0,FUTU
08095,北大青鸟环宇,2015-11-27,BUY,5000,1.68,6.09,9.0,FUTU
00305,五菱汽车,2015-11-30,BUY,10000,0.69,5.99,7.0,FUTU
03399,粤运交通,2015-12-09,BUY,2000,5.63,6.29,12.0,FUTU
00861,神州控股,2015-12-09,BUY,1000,8.46,6.1,9.0,FUTU
00861,神州控股,2015-12-11,SELL,-4000,8.01,7.75,33.0,FUTU
00861,神州控股,2016-01-04,BUY,1000,8.77,6.11,9.0,FUTU
00861,神州控股,2016-01-04,BUY,1000,8.6,6.1,9.0,FUTU
00861,神州控股,2016-01-04,BUY,1000,8.31,6.08,9.0,FUTU
01918,融创中国,2016-01-05,BUY,2000,5.46,6.27,11.0,FUTU
01362,新龙移动,2016-01-06,BUY,4000,2.01,6.07,9.0,FUTU
00861,神州控股,2016-01-07,BUY,1000,7.81,6.05,8.0,FUTU
01918,融创中国,2016-01-07,BUY,1000,5.01,5.85,5.0,FUTU
01362,新龙移动,2016-01-07,BUY,4000,1.86,6.02,8.0,FUTU
03968,招商银行,2016-01-07,BUY,1000,15.94,6.62,16.0,FUTU
03968,招商银行,2016-01-08,BUY,1000,16.1,6.63,17.0,FUTU
03968,招商银行,2016-01-10,BUY,1000,15.68,18.0,16.42336,IB
01918,融创中国,2016-01-10,BUY,1000,4.76,18.0,5.12852,IB
03968,招商银行,2016-01-11,BUY,1000,15.42,6.58,16.0,FUTU
03968,招商银行,2016-01-11,BUY,1000,15.56,18.0,16.42012,IB
00635,彩星集团,2016-01-12,BUY,2000,8.76,6.73,18.0,FUTU
01918,融创中国,2016-01-14,BUY,1000,4.59,5.83,5.0,FUTU
03399,粤运交通,2016-01-14,SELL,-2000,5.09,6.22,11.0,FUTU
00410,SOHO中国,2016-01-19,BUY,1000,3.26,5.73,4.0,FUTU
02238,广汽集团,2016-01-26,BUY,2000,6.43,18.0,13.347220000000002,IB
02238,广汽集团,2016-01-26,BUY,2000,6.57,18.0,14.354779999999998,IB
01362,新龙移动,2016-02-02,SELL,-4000,1.66,6.01,7.0,FUTU
00410,SOHO中国,2016-02-02,BUY,1000,3.53,5.78,4.0,FUTU
08095,北大青鸟环宇,2016-02-02,BUY,3000,1.61,5.87,5.0,FUTU
01362,新龙移动,2016-02-02,SELL,-4000,1.65,6.01,7.0,FUTU
02238,广汽集团,2016-02-11,BUY,2000,6.86,6.56,14.0,FUTU
03968,招商银行,2016-02-12,BUY,1000,12.86,6.49,13.0,FUTU
01093,石药集团,2016-02-12,BUY,2000,6.21,6.46,13.0,FUTU
03968,招商银行,2016-02-12,SELL,-1000,12.9,6.5,13.0,FUTU
01918,融创中国,2016-02-22,SELL,-2000,5.08,11.78,12.0,FUTU
00520,呷哺呷哺,2016-02-23,BUY,500,3.26,5.62,2.0,FUTU
02238,广汽集团,2016-02-24,SELL,-2000,6.93,6.56,14.0,FUTU
00520,呷哺呷哺,2016-02-25,BUY,1500,3.26,5.87,5.0,FUTU
01530,三生制药,2016-02-29,BUY,1000,9.42,6.22,10.0,FUTU
01530,三生制药,2016-03-01,SELL,-500,9.46,5.87,5.0,FUTU
01530,三生制药,2016-03-01,BUY,500,9.26,5.86,5.0,FUTU
00520,呷哺呷哺,2016-03-01,BUY,1000,3.36,11.26,4.0,FUTU
00966,中国太平,2016-03-08,BUY,1000,15.84,6.72,16.0,FUTU
00966,中国太平,2016-03-08,SELL,-1000,15.88,6.72,16.0,FUTU
01093,石药集团,2016-03-09,SELL,-2000,5.97,6.42,12.0,FUTU
02800,盈富基金,2016-03-10,BUY,1000,20.4,12.58,0.0,FUTU
02800,盈富基金,2016-03-10,SELL,-1000,20.2,6.29,0.0,FUTU
02800,盈富基金,2016-03-16,BUY,500,20.5,6.29,0.0,FUTU
03968,招商银行,2016-03-30,SELL,-2000,16.48,26.368000000000002,34.889920000000004,IB
00939,建设银行,2016-03-31,BUY,3000,5.04,6.67,16.0,FUTU
00998,中信银行,2016-03-31,BUY,3000,4.78,6.61,15.0,FUTU
00939,建设银行,2016-03-31,SELL,-5000,4.96,7.41,25.0,FUTU
00998,中信银行,2016-03-31,BUY,2000,4.79,11.74,10.0,FUTU
00939,建设银行,2016-03-31,BUY,2000,5.03,6.27,11.0,FUTU
03968,招商银行,2016-03-31,SELL,-1000,16.6,12.28,18.0,FUTU
03968,招商银行,2016-03-31,SELL,-2000,16.58,13.54,34.0,FUTU
02800,盈富基金,2016-04-01,SELL,-500,21.05,6.31,0.0,FUTU
01918,融创中国,2016-04-06,BUY,2000,5.05,6.28,11.0,FUTU
00861,神州控股,2016-04-06,SELL,-1000,9.77,6.25,10.0,FUTU
03399,粤运交通,2016-04-06,SELL,-3000,4.48,6.53,14.0,FUTU
02238,广汽集团,2016-04-07,SELL,-2000,8.27,18.0,17.446579999999994,IB
03800,保利协鑫能源,2016-04-13,BUY,10000,1.26,6.47,13.0,FUTU
03800,保利协鑫能源,2016-04-18,SELL,-10000,1.24,6.45,13.0,FUTU
01211,比亚迪股份,2016-04-18,BUY,500,42.65,7.15,22.0,FUTU
00175,吉利汽车,2016-04-19,BUY,5000,3.92,7.01,20.0,FUTU
02238,广汽集团,2016-04-20,BUY,2000,8.96,6.88,18.0,FUTU
00777,网龙,2016-04-21,BUY,500,26.0,6.5,13.0,FUTU
00819,天能动力,2016-04-21,BUY,2000,7.63,6.67,16.0,FUTU
00520,呷哺呷哺,2016-04-25,SELL,-2000,4.3,11.66,10.0,FUTU
00861,神州控股,2016-04-26,SELL,-3000,5.6,6.79,17.0,FUTU
00520,呷哺呷哺,2016-04-26,SELL,-1000,4.32,5.67,5.0,FUTU
00998,中信银行,2016-05-05,BUY,2000,4.66,6.22,10.0,FUTU
01918,融创中国,2016-05-05,BUY,2000,5.18,18.0,11.27972,IB
01530,三生制药,2016-05-06,BUY,1000,9.21,6.21,10.0,FUTU
01918,融创中国,2016-05-06,BUY,2000,5.12,6.29,11.0,FUTU
00819,天能动力,2016-05-06,BUY,2000,6.16,6.45,13.0,FUTU
02238,广汽集团,2016-05-08,BUY,2000,8.37,18.0,17.45198,IB
00410,SOHO中国,2016-05-09,SELL,-2000,3.72,6.07,8.0,FUTU
01918,融创中国,2016-05-11,BUY,2000,4.76,6.24,10.0,FUTU
08095,北大青鸟环宇,2016-05-12,SELL,-8000,1.32,6.32,11.0,FUTU
00305,五菱汽车,2016-05-12,SELL,-20000,0.64,6.49,13.0,FUTU
01530,三生制药,2016-05-13,BUY,1000,8.72,6.18,9.0,FUTU
00998,中信银行,2016-05-19,BUY,3000,4.41,6.52,14.0,FUTU
01530,三生制药,2016-05-19,SELL,-3000,8.17,23.87,28.0,FUTU
02333,长城汽车,2016-05-20,BUY,2000,5.62,6.36,12.0,FUTU
02333,长城汽车,2016-05-30,BUY,2000,5.9,18.0,12.3186,IB
00635,彩星集团,2016-05-31,SELL,-2000,10.6,7.13,22.0,FUTU
02238,广汽集团,2016-06-01,SELL,-2000,9.01,6.89,19.0,FUTU
02333,长城汽车,2016-06-06,BUY,2000,6.23,6.46,13.0,FUTU
01530,三生制药,2016-06-07,BUY,3000,7.72,18.528,24.625320000000002,IB
01918,融创中国,2016-06-08,BUY,2000,4.96,11.76,10.0,FUTU
03618,重庆农村商业银行,2016-06-08,BUY,4000,4.05,6.75,17.0,FUTU
00998,中信银行,2016-06-08,BUY,3000,4.66,6.58,14.0,FUTU
03618,重庆农村商业银行,2016-06-12,BUY,3000,3.85,18.0,12.31185,IB
00998,中信银行,2016-06-14,BUY,2000,4.46,18.0,9.240839999999999,IB
03618,重庆农村商业银行,2016-06-14,BUY,3000,3.85,18.0,12.31185,IB
00966,中国太平,2016-06-14,BUY,2000,13.84,22.144000000000002,30.747359999999997,IB
03968,招商银行,2016-06-14,BUY,2000,15.34,24.544,31.828359999999996,IB
01918,融创中国,2016-06-16,BUY,3000,4.52,18.0,14.36612,IB
00175,吉利汽车,2016-06-17,SELL,-5000,4.14,7.1,21.0,FUTU
03618,重庆农村商业银行,2016-06-20,BUY,1000,3.88,5.79,4.0,FUTU
03968,招商银行,2016-06-20,BUY,1000,15.74,6.71,16.0,FUTU
01918,融创中国,2016-06-22,BUY,2000,4.76,18.0,10.25704,IB
01211,比亚迪股份,2016-06-22,BUY,500,45.75,18.3,23.617625,IB
03968,招商银行,2016-06-23,BUY,1000,15.86,18.0,16.42822,IB
01918,融创中国,2016-06-23,BUY,2000,4.66,18.0,10.25164,IB
02238,广汽集团,2016-06-23,SELL,-2000,9.4,18.0,19.5076,IB
03618,重庆农村商业银行,2016-06-23,BUY,3000,3.76,18.0,12.30456,IB
00966,中国太平,2016-06-23,BUY,1000,14.1,18.0,15.3807,IB
02333,长城汽车,2016-06-24,SELL,-2000,6.15,18.0,13.3321,IB
01918,融创中国,2016-07-05,BUY,2000,4.86,18.0,10.26244,IB
00777,网龙,2016-07-11,BUY,500,23.95,18.0,12.323325,IB
01530,三生制药,2016-07-18,SELL,-3000,7.94,19.055999999999997,24.64314,IB
01918,融创中国,2016-07-20,BUY,3000,4.9,18.0,15.3969,IB
02238,广汽集团,2016-07-21,SELL,-2000,10.38,18.0,21.56052,IB
03618,重庆农村商业银行,2016-07-22,SELL,-4000,4.12,6.76,17.0,FUTU
02333,长城汽车,2016-07-25,BUY,1000,7.52,6.08,8.0,FUTU
00819,天能动力,2016-07-25,SELL,-4000,5.31,12.64,22.0,FUTU
00777,网龙,2016-07-25,BUY,500,27.4,6.56,14.0,FUTU
00998,中信银行,2016-07-28,SELL,-3000,4.883333333,18.0,15.39555,IB
02333,长城汽车,2016-07-29,BUY,1000,8.26,6.13,9.0,FUTU
02333,长城汽车,2016-07-29,BUY,1000,8.16,6.13,9.0,FUTU
02333,长城汽车,2016-08-01,SELL,-1000,8.36,6.15,9.0,FUTU
01211,比亚迪股份,2016-08-02,SELL,-500,48.35,19.34,25.652725,IB
01918,融创中国,2016-08-05,BUY,2000,5.36,6.33,11.0,FUTU
01918,融创中国,2016-08-08,SELL,-2000,5.4,6.33,11.0,FUTU
01918,融创中国,2016-08-09,BUY,2000,5.28,3.59,10.1,GJ-ZJW
03968,招商银行,2016-08-18,BUY,1000,18.86,18.0,20.509220000000006,IB
00998,中信银行,2016-08-25,BUY,1000,5.01,18.0,6.1352699999999984,IB
00966,中国太平,2016-08-25,BUY,1000,15.86,18.0,16.42822,IB
00998,中信银行,2016-08-26,SELL,-3000,5.01,6.66,16.0,FUTU
01918,融创中国,2016-08-28,SELL,-30000,5.32,127.68,165.3092,IB
01918,融创中国,2016-08-28,BUY,15000,5.4,64.8,83.18700000000003,IB
00998,中信银行,2016-08-29,SELL,-2000,5.01,6.27,11.0,FUTU
01378,中国宏桥,2016-08-31,BUY,3000,6.66,18.0,20.539460000000002,IB
01378,中国宏桥,2016-09-01,BUY,2000,6.54,18.0,14.35316,IB
01378,中国宏桥,2016-09-11,BUY,2000,6.95,18.0,14.3753,IB
01918,融创中国,2016-09-12,BUY,3000,5.76,6.83,18.0,FUTU
01333,中国忠旺,2016-09-12,BUY,7200,3.83,22.0608,29.744552000000002,IB
01378,中国宏桥,2016-09-13,SELL,-2000,6.82,18.0,14.368279999999999,IB
01918,融创中国,2016-09-23,BUY,2000,6.06,6.44,13.0,FUTU
01378,中国宏桥,2016-09-26,SELL,-5000,6.79,27.16,34.91665,IB
00966,中国太平,2016-09-30,BUY,1000,15.36,18.0,16.414720000000006,IB
06837,海通证券,2016-10-10,BUY,2000,13.8,22.08,28.7452,IB
06837,海通证券,2016-10-11,BUY,2000,13.5,21.6,28.729,IB
03618,重庆农村商业银行,2016-10-13,SELL,-9000,4.64,33.408,43.127520000000004,IB
01211,比亚迪股份,2016-10-13,BUY,500,50.45,20.18,26.681075,IB
06837,海通证券,2016-10-13,SELL,-2000,13.56,21.695999999999998,28.73224,IB
01211,比亚迪股份,2016-10-14,SELL,-500,50.45,20.18,26.681075,IB
01211,比亚迪股份,2016-10-14,SELL,-500,50.35,7.44,26.0,FUTU
00777,网龙,2016-10-17,SELL,-500,25.6,18.0,13.3456,IB
03618,重庆农村商业银行,2016-10-17,SELL,-1000,4.71,5.87,5.0,FUTU
00777,网龙,2016-10-17,SELL,-1000,25.6,12.98,26.0,FUTU
00966,中国太平,2016-10-19,BUY,1000,15.76,18.0,17.425520000000002,IB
02238,广汽集团,2016-10-25,BUY,4000,10.74,34.368,44.15992,IB
01918,融创中国,2016-10-26,BUY,3000,5.3,12.23,17.0,FUTU
02238,广汽集团,2016-10-30,SELL,-4000,10.14,32.448,42.09512,IB
02333,长城汽车,2016-11-01,SELL,-2000,7.58,6.67,16.0,FUTU
01918,融创中国,2016-11-01,BUY,2000,5.36,6.67,11.0,FUTU
02333,长城汽车,2016-11-01,SELL,-4000,7.63,7.85,31.0,FUTU
01918,融创中国,2016-11-08,BUY,3000,5.54,6.78,17.0,FUTU
03968,招商银行,2016-11-08,BUY,1000,17.86,18.0,18.48222,IB
00966,中国太平,2016-11-08,BUY,800,14.76,18.0,12.318816,IB
06837,海通证券,2016-11-08,BUY,1200,13.46,18.0,17.436104,IB
01333,中国忠旺,2016-11-09,BUY,3200,3.46,18.0,12.298944,IB
01918,融创中国,2016-11-09,BUY,2000,5.51,11.86,12.0,FUTU
01918,融创中国,2016-11-09,BUY,3000,5.46,6.76,17.0,FUTU
01918,融创中国,2016-11-09,BUY,2000,5.41,6.33,11.0,FUTU
01918,融创中国,2016-11-09,BUY,3000,5.36,6.73,17.0,FUTU
01333,中国忠旺,2016-11-10,BUY,2000,3.54,18.0,8.19116,IB
01333,中国忠旺,2016-11-10,BUY,1600,3.56,18.0,6.153792,IB
06837,海通证券,2016-11-10,BUY,800,13.76,18.0,12.297216,IB
01333,中国忠旺,2016-11-17,BUY,2000,3.69,18.0,8.19926,IB
01333,中国忠旺,2016-11-18,BUY,4000,3.63,6.62,15.0,FUTU
01333,中国忠旺,2016-11-22,SELL,-1600,3.73,18.0,6.161136,IB
01333,中国忠旺,2016-11-23,SELL,-400,3.63,18.0,2.0392040000000002,IB
00966,中国太平,2016-11-28,BUY,400,17.86,18.0,8.192888,IB
03968,招商银行,2016-11-28,SELL,-1000,19.2,18.0,20.5184,IB
01548,金斯瑞生物科技,2016-12-01,BUY,4000,4.06,18.0,17.43848,IB
01548,金斯瑞生物科技,2016-12-01,BUY,2000,4.08,18.0,9.22032,IB
00966,中国太平,2016-12-01,SELL,-2000,17.64,28.224,36.95256,IB
01548,金斯瑞生物科技,2016-12-02,BUY,2000,4.03,18.0,9.21762,IB
01548,金斯瑞生物科技,2016-12-05,BUY,2000,3.86,18.0,8.20844,IB
01088,中国神华,2016-12-06,BUY,2000,15.94,6.78,32.0,GJ-ZJW
00966,中国太平,2016-12-06,BUY,2000,17.66,7.29,36.0,GJ-ZJW
01088,中国神华,2016-12-07,BUY,2000,15.92,6.77,32.0,GJ-WJ
01548,金斯瑞生物科技,2016-12-11,BUY,2000,3.08,18.0,7.16632,IB
00998,中信银行,2016-12-14,BUY,2000,5.16,3.54,11.0,GJ-ZJW
01088,中国神华,2016-12-14,BUY,1000,15.86,4.37,16.0,GJ-ZJW
00998,中信银行,2016-12-14,BUY,2000,5.11,3.53,11.0,GJ-ZJW
01088,中国神华,2016-12-14,BUY,1000,16.12,4.42,17.0,GJ-WJ
01088,中国神华,2016-12-14,BUY,1000,15.66,4.35,16.0,GJ-WJ
01918,融创中国,2016-12-14,BUY,5000,6.49,8.86,33.0,GJ-WJ
01918,融创中国,2016-12-15,BUY,5000,6.36,8.75,33.0,GJ-WJ
01088,中国神华,2016-12-19,BUY,1000,15.16,4.27,16.0,GJ-ZJW
00998,中信银行,2016-12-19,BUY,2000,5.06,3.52,11.0,GJ-ZJW
00966,中国太平,2016-12-19,BUY,1000,16.46,4.47,17.0,GJ-WJ
00998,中信银行,2016-12-21,BUY,2000,4.91,3.48,10.0,GJ-ZJW
01918,融创中国,2016-12-21,BUY,5000,6.61,6.96,34.0,GJ-WJ
01088,中国神华,2016-12-21,BUY,1000,14.66,4.21,15.0,GJ-WJ
03968,招商银行,2016-12-22,SELL,-4000,17.66,56.512,72.90728,IB
01548,金斯瑞生物科技,2016-12-22,BUY,2000,3.28,18.0,7.1771199999999995,IB
01333,中国忠旺,2016-12-23,BUY,2800,3.34,6.22,10.0,FUTU
03968,招商银行,2016-12-23,SELL,-1000,17.66,6.86,18.0,FUTU
00966,中国太平,2016-12-23,BUY,1000,15.64,18.0,16.422279999999994,IB
00998,中信银行,2016-12-28,BUY,2000,4.81,6.24,10.0,FUTU
03399,粤运交通,2016-12-28,SELL,-6000,4.15,12.92,26.0,FUTU
00998,中信银行,2016-12-29,BUY,3000,4.84,6.62,15.0,FUTU
01333,中国忠旺,2016-12-29,SELL,-14000,3.28,36.736,47.23984,IB
01333,中国忠旺,2016-12-30,SELL,-6800,3.27,7.2,23.0,FUTU
00998,中信银行,2017-01-16,SELL,-2000,5.14,3.54,11.0,GJ-ZJW
00998,中信银行,2017-01-17,SELL,-4000,5.13,5.08,21.0,GJ-ZJW
01918,融创中国,2017-01-18,SELL,-3000,6.76,7.06,21.0,FUTU
01918,融创中国,2017-01-18,SELL,-2000,6.84,4.05,14.0,GJ-ZJW
01918,融创中国,2017-01-18,SELL,-10000,6.87,12.3,69.0,GJ-WJ
01918,融创中国,2017-01-18,SELL,-5000,6.84,7.13,35.0,GJ-WJ
01088,中国神华,2017-01-19,BUY,1000,15.86,6.72,16.0,FUTU
01918,融创中国,2017-01-20,SELL,-10000,6.54,32.6,68.0,FUTU
03818,中国动向,2017-01-23,BUY,3000,1.42,18.0,5.1150199999999995,IB
01548,金斯瑞生物科技,2017-01-24,SELL,-14000,3.1,34.72,45.1718,IB
00165,中国光大控股,2017-01-25,BUY,2000,14.86,7.79,30.0,FUTU
01088,中国神华,2017-01-25,SELL,-1000,16.16,6.75,17.0,FUTU
00165,中国光大控股,2017-01-27,BUY,2000,14.96,7.81,30.0,FUTU
01548,金斯瑞生物科技,2017-02-01,BUY,10000,3.4,27.2,34.918,IB
01055,中国南方航空股份,2017-02-10,BUY,6000,4.62,22.176,28.748440000000002,IB
00998,中信银行,2017-02-10,BUY,2000,5.26,6.31,11.0,FUTU
03818,中国动向,2017-02-13,BUY,5000,1.52,18.0,8.2052,IB
01055,中国南方航空股份,2017-02-13,BUY,4000,4.82,18.0,20.52056,IB
03818,中国动向,2017-02-14,BUY,5000,1.52,18.0,8.2052,IB
01548,金斯瑞生物科技,2017-02-14,BUY,2000,3.66,18.0,8.19764,IB
03399,粤运交通,2017-02-16,BUY,5000,4.86,19.44,25.6561,IB
03399,粤运交通,2017-02-17,BUY,2000,4.9,11.76,10.0,FUTU
00165,中国光大控股,2017-02-21,BUY,2000,15.56,7.9,32.0,FUTU
00998,中信银行,2017-02-22,SELL,-2000,5.41,11.84,12.0,FUTU
00165,中国光大控股,2017-02-22,SELL,-2000,15.66,7.92,32.0,FUTU
01055,中国南方航空股份,2017-02-22,BUY,2000,5.09,18.0,11.27486,IB
01548,金斯瑞生物科技,2017-02-23,BUY,2000,4.3,6.16,9.0,FUTU
03399,粤运交通,2017-02-23,BUY,3000,5.19,18.0,16.42039,IB
06837,海通证券,2017-02-23,SELL,-4000,14.48,46.33600000000001,59.56384,IB
00512,远大医药,2017-02-24,BUY,20000,1.75,8.2,35.0,FUTU
01548,金斯瑞生物科技,2017-02-24,BUY,2000,3.96,18.0,8.21384,IB
03399,粤运交通,2017-02-26,BUY,2000,5.46,18.0,11.294839999999999,IB
03818,中国动向,2017-02-27,SELL,-13000,1.45,18.0,19.50895,IB
01055,中国南方航空股份,2017-03-07,BUY,4000,4.91,4.95,20.0,GJ-ZJW
01548,金斯瑞生物科技,2017-03-08,BUY,2000,4.76,18.0,10.25704,IB
03399,粤运交通,2017-03-08,BUY,2000,6.46,18.0,13.34884,IB
